"","siteid","sitename","plotid","easting","northing","taxonid","scientificname","indvidualid","pointid","individualdistance","individualazimuth","dbh","dbhheight","basalcanopydiam","basalcanopydiam_90deg","maxcanopydiam","canopydiam_90deg","stemheight","stemremarks","stemstatus","canopyform","livingcanopy","inplotcanopy","materialsampleid","dbhqf","stemmapqf"
"1","SOAP","Soaproot Saddle","SOAP43",297065,4100725.5,"ABCO","Abies concolor",622,"center",5.4,67.8,67.6,130,8.2,7.9,0,0,34.5,"","","",100,100,"",0,0
"2","SOAP","Soaproot Saddle","SOAP43",297069.7,4100722.5,"ABCO","Abies concolor",632,"NE",5.4,188.7,16.1,130,0,0,3.3,3.2,13,"","","",100,100,"",0,1
"3","SOAP","Soaproot Saddle","SOAP43",297056.1,4100722.2,"ABCO","Abies concolor",567,"center",4.1,250.8,5.9,130,0,0,2.9,2.8,3.8,"","","",100,100,"",0,0
"4","SOAP","Soaproot Saddle","SOAP43",297067.2,4100719,"ABCO","Abies concolor",606,"center",8.5,122.4,0.9,10,0,0,0.4,0.3,0.6,"","","",100,100,"",0,0
"5","SOAP","Soaproot Saddle","SOAP43",297057.4,4100728.8,"ABCO","Abies concolor",639,"center",5.7,332.6,4,130,0,0,2,1.5,3.4,"","","",100,100,"",0,0
"6","SOAP","Soaproot Saddle","SOAP43",297056.4,4100721.5,"ABCO","Abies concolor",566,"center",4.1,240.3,5.1,130,0,0,2.4,1.9,3,"","","",100,100,"",0,0
"7","SOAP","Soaproot Saddle","SOAP331",297055.8,4100607,"ABCO","Abies concolor",527,"center",8.3,5.7,1.1,130,0,0,1.3,1.4,1.4,"","","",100,100,"",0,0
"8","SOAP","Soaproot Saddle","SOAP43",297057.1,4100730,"ABCO","Abies concolor",638,"center",6.9,335.5,3.1,130,0,0,2,1.9,3.1,"","","",100,100,"",0,0
"9","SOAP","Soaproot Saddle","SOAP331",297061.1,4100600.2,"ABCO","Abies concolor",516,"center",6.4,74.5,1,10,0,0,0.5,0.5,0.5,"","","",100,100,"",0,0
"10","SOAP","Soaproot Saddle","SOAP331",297051.7,4100603.5,"ABCO","Abies concolor",555,"center",6,326.8,8.9,130,0,0,3,2.9,5,"","","",100,100,"",0,0
"11","SOAP","Soaproot Saddle","SOAP331",297058.9,4100595,"ABCO","Abies concolor",484,"center",5.4,132.6,2.5,10,0,0,1.1,1.2,1.2,"","","",100,100,"",0,0
"12","SOAP","Soaproot Saddle","SOAP331",297049.9,4100605.5,"AMUT","Amelanchier utahensis",551,"center",8.6,323.9,NA,130,60,40,1.4,1.7,2,"21 stems","","Hemisphere",100,100,"",0,0
"13","SOAP","Soaproot Saddle","SOAP331",297044,4100604,"AMUT","Amelanchier utahensis",559,"NW",2.8,164.8,NA,130,1.3,0.9,5.4,3.8,3.2,"","bush/ sml tree smushed by fallen tree","Hemisphere",100,100,"",0,1
"14","SOAP","Soaproot Saddle","SOAP139",297058,4100095.5,"ARVI4","Arctostaphylos viscida",352,"center",8,70.1,NA,130,27,7,1.4,0.8,1.4,"3 stems","dead w branches","",0,100,"",0,1
"15","SOAP","Soaproot Saddle","SOAP1343",299603.9,4100964.5,"ARVI4","Arctostaphylos viscida",784,"center",9.9,139,NA,130,40,28,2,1.3,1.4,"4 stems","dead w branches","Hemisphere",0,100,"",0,0
"16","SOAP","Soaproot Saddle","SOAP143",299852.8,4100426,"ARVI4","Arctostaphylos viscida",1208,"center",11.8,50.3,NA,130,14,12,1.1,1,2,"6 stems","","Cone",100,100,"",0,1
"17","SOAP","Soaproot Saddle","SOAP63",299813.7,4101028,"ARVI4","Arctostaphylos viscida",891,"center",4.9,356.2,NA,130,22,9,1.3,1,1.3,"2 stems","long dead","",0,100,"",0,0
"18","SOAP","Soaproot Saddle","SOAP1563",297710.6,4101224,"ARVI4","Arctostaphylos viscida",38,"center",8.8,84.1,0,0,33,22,2,2,1.2,"sphere 35dead","",NA,NA,NA,NA,0,0
"19","SOAP","Soaproot Saddle","SOAP1695",299178,4100962,"ARVI4","Arctostaphylos viscida",82,"center",2.7,205.2,0,0,11,8,2.2,3,2,"hemi 10 live","",NA,NA,NA,NA,0,0
"20","SOAP","Soaproot Saddle","SOAP255",300147.4,4101377.8,"ARVI4","Arctostaphylos viscida",1264,"center",3.8,98.8,NA,130,32,21,2.4,2.2,2.4,"4 stems","long dead","Hemisphere",NA,100,"",0,0
"21","SOAP","Soaproot Saddle","SOAP143",299849.6,4100424.8,"ARVI4","Arctostaphylos viscida",1212,"center",8.6,43.4,NA,130,7,5,0.7,0.6,0.9,"3 stems","","Cone",95,100,"",0,0
"22","SOAP","Soaproot Saddle","SOAP1695",299177.4,4100959.2,"ARVI4","Arctostaphylos viscida",84,"center",5.5,198.4,0,0,21,22,4.6,4,2.6,"sphere 60 live","",NA,NA,NA,NA,0,0
"23","SOAP","Soaproot Saddle","SOAP1611",297435.7,4100582.2,"ARVI4","Arctostaphylos viscida",73,"center",12.1,312.8,0,0,52,10,1.7,2,1.4,"hemi 30 live","",NA,NA,NA,NA,0,0
"24","SOAP","Soaproot Saddle","SOAP283",297780,4101205.5,"ARVI4","Arctostaphylos viscida",48,"center",5.8,110.7,4.4,4.6,31,28,0,0,2.3,"hemi 0 live","snag",NA,NA,NA,NA,0,0
"25","SOAP","Soaproot Saddle","SOAP143",299836.6,4100409.5,"ARVI4","Arctostaphylos viscida",1150,"center",11.6,217.9,NA,130,10,9,0.6,0.5,1.3,"4 stems","","Cone",100,100,"",0,0
"26","SOAP","Soaproot Saddle","SOAP1695",299176.4,4100957.8,"ARVI4","Arctostaphylos viscida",104,"center",7.2,202.2,0,0,5,7,0.8,1,1,"cone 70 live","",NA,NA,NA,NA,0,0
"27","SOAP","Soaproot Saddle","SOAP139",297036.6,4100086.8,"ARVI4","Arctostaphylos viscida",316,"SW",4,42.3,3.4,10,0,0,0.7,0.8,1.1,"","","Cone",0,100,"",0,0
"28","SOAP","Soaproot Saddle","SOAP139",297053.3,4100101.2,"ARVI4","Arctostaphylos viscida",356,"center",9.1,17.6,2,10,0,0,30,10,1.1,"","dead w branches","Cone",0,100,"",0,0
"29","SOAP","Soaproot Saddle","SOAP1515",297516,4101247.8,"ARVI4","Arctostaphylos viscida",9,"SE",2.2,279.3,6.7,1,17,8,1.4,1.2,2.3,"1 stem","","Hemisphere",95,100,"",0,1
"30","SOAP","Soaproot Saddle","SOAP1343",299606,4100965.5,"ARVI4","Arctostaphylos viscida",780,"center",10.8,126.7,NA,130,38,31,1.9,1.8,0.9,"","","Sphere",0,100,"",0,0
"31","SOAP","Soaproot Saddle","SOAP1695",299175.4,4100962.5,"ARVI4","Arctostaphylos viscida",81,"center",4.2,242.4,0,0,94,58,1,0,0.9,"hemi 45 live","",NA,NA,NA,NA,0,0
"32","SOAP","Soaproot Saddle","SOAP143",299839.6,4100420.2,"ARVI4","Arctostaphylos viscida",1231,"center",4.5,293.7,NA,130,5,2,0.3,0.3,0.8,"2 stems","","Cylinder",100,100,"",0,0
"33","SOAP","Soaproot Saddle","SOAP143",299850.2,4100426.5,"ARVI4","Arctostaphylos viscida",1211,"center",10.2,39.8,1.4,10,0,0,0.3,0.3,0.9,"","dead","Cone",0,100,"",0,0
"34","SOAP","Soaproot Saddle","SOAP1515",297513,4101264.2,"ARVI4","Arctostaphylos viscida",13,"center",8.3,34.6,NA,130,38,35,3.7,3.6,2.1,"23 stems (5.4;6.1;4.0;5.5;5.1;6.0;4.4;4.4;2.0;8.4;3.7;5.6;3.0;14.7;5.7;3.6;7.0;2.9;4.9;3.7;3.2;2.8;2.2)","","Sphere",40,100,"",0,0
"35","SOAP","Soaproot Saddle","SOAP143",299852.9,4100423,"ARVI4","Arctostaphylos viscida",1207,"center",10.3,63.7,NA,130,10,9,1.3,1.1,2.7,"4 stems","","Cylinder",95,100,"",0,1
"36","SOAP","Soaproot Saddle","SOAP139",297036.6,4100085,"ARVI4","Arctostaphylos viscida",317,"SW",2.9,66.8,NA,130,10,9,0.7,0.5,1.5,"3 stems","","Cylinder",0,100,"",0,0
"37","SOAP","Soaproot Saddle","SOAP63",299823.2,4101019.5,"ARVI4","Arctostaphylos viscida",839,"SE",5.4,354.3,NA,130,61,23,4.8,4.3,2.5,"2 stems old dead","dead w no small branches","",0,100,"",0,1
"38","SOAP","Soaproot Saddle","SOAP1563",297704.6,4101217,"ARVI4","Arctostaphylos viscida",35,"center",6.8,155.8,0,0,36,52,3.1,2,1.9,"f109 hemi 15dead","",NA,NA,NA,NA,0,0
"39","SOAP","Soaproot Saddle","SOAP1563",297698.6,4101215.5,"ARVI4","Arctostaphylos viscida",31,"center",8.4,202.2,0,0,12,8,1.2,1,0.8,"cone 10 dead","",NA,NA,NA,NA,0,0
"40","SOAP","Soaproot Saddle","SOAP1343",299606.6,4100963,"ARVI4","Arctostaphylos viscida",779,"center",12.8,133.8,NA,130,28,24,2.8,2.1,2.4,"3 stems","","Sphere",100,100,"",0,0
"41","SOAP","Soaproot Saddle","SOAP1611",297437.6,4100577.5,"ARVI4","Arctostaphylos viscida",72,"center",7.8,296.4,0,0,18,10,1.9,2,1.3,"cone 80 live","",NA,NA,NA,NA,0,0
"42","SOAP","Soaproot Saddle","SOAP223",299303.3,4101465,"ARVI4","Arctostaphylos viscida",1010,"SE",0.9,321.3,NA,130,6,5,1.7,1.4,1.2,"","2 stems","Cylinder",60,100,"",0,1
"43","SOAP","Soaproot Saddle","SOAP283",297768.2,4101213,"ARVI4","Arctostaphylos viscida",62,"center",8.4,310.4,0,0,30,14,1.3,2,1.8,"cone 60 live","",NA,NA,NA,NA,0,0
"44","SOAP","Soaproot Saddle","SOAP139",297048.7,4100102,"ARVI4","Arctostaphylos viscida",417,"center",9.6,349.2,NA,130,50,60,1.8,2.7,2.2,"","11 stems","Sphere",25,100,"",0,0
"45","SOAP","Soaproot Saddle","SOAP1563",297692.6,4101232,"ARVI4","Arctostaphylos viscida",44,"NW",1.3,162.6,0,0,6,8,1,1,0,"cone 25 dead","",NA,NA,NA,NA,0,0
"46","SOAP","Soaproot Saddle","SOAP1695",299177.8,4100960,"ARVI4","Arctostaphylos viscida",83,"center",4.5,197.4,0,0,9,6,3.3,2,2.3,"hemi 10 live","",NA,NA,NA,NA,0,0
"47","SOAP","Soaproot Saddle","SOAP223",299295.9,4101475.5,"ARVI4","Arctostaphylos viscida",1014,"center",2.2,47,NA,130,31,28,2.1,1.7,1.5,"3 stems","","Cone",40,100,"",0,0
"48","SOAP","Soaproot Saddle","SOAP143",299834.8,4100412.2,"ARVI4","Arctostaphylos viscida",135,"center",10.9,234.3,NA,130,8,3,1.3,0.6,1,"2 stems","","Hemisphere",100,100,"",0,0
"49","SOAP","Soaproot Saddle","SOAP1563",297702.9,4101217,"ARVI4","Arctostaphylos viscida",32,"center",6.2,169.5,0,0,47,18,3.2,3,1.7,"hemi 17 dead","",NA,NA,NA,NA,0,0
"50","SOAP","Soaproot Saddle","SOAP143",299838.7,4100410,"ARVI4","Arctostaphylos viscida",1147,"center",9.8,210.8,NA,130,4,2,0.6,0.5,0.6,"3 stems","","Hemisphere",100,100,"",0,0
"51","SOAP","Soaproot Saddle","SOAP255",300146.1,4101384,"ARVI4","Arctostaphylos viscida",1297,"center",6.2,23.2,NA,130,71,49,4.2,1.9,1.6,"5 stems","long dead","Hemisphere",0,100,"",0,0
"52","SOAP","Soaproot Saddle","SOAP143",299835.6,4100412,"ARVI4","Arctostaphylos viscida",136,"center",10.3,231.6,NA,130,9,6,0.4,0.4,0.9,"3 stems","","Cylinder",100,100,"",0,0
"53","SOAP","Soaproot Saddle","SOAP255",300152.6,4101374,"ARVI4","Arctostaphylos viscida",1258,"SE",6.7,351.1,11.2,10,0,0,3.6,2.4,2.7,"","long dead","Cone",0,100,"",0,0
"54","SOAP","Soaproot Saddle","SOAP1563",297703.6,4101218,"ARVI4","Arctostaphylos viscida",34,"center",5.5,160.8,0,0,38,76,3.9,3,1.5,"100 dead hemi","snag",NA,NA,NA,NA,0,0
"55","SOAP","Soaproot Saddle","SOAP255",300145.9,4101377.5,"ARVI4","Arctostaphylos viscida",1274,"center",2.3,108.4,NA,130,62,15,7.2,6.2,3.7,"4 stems","long dead","Hemisphere",0,100,"",0,0
"56","SOAP","Soaproot Saddle","SOAP139",297045.4,4100094,"ARVI4","Arctostaphylos viscida",375,"center",5.3,283.4,NA,130,22,7,2,1.2,1.6,"3 stems","dead w branches","Sphere",0,100,"",0,0
"57","SOAP","Soaproot Saddle","SOAP63",299806.6,4101018,"ARVI4","Arctostaphylos viscida",815,"SW",6,35.7,14.6,10,0,0,2,1.6,2.9,"","dead no sml branches","",0,100,"",0,0
"58","SOAP","Soaproot Saddle","SOAP1695",299178.4,4100955.8,"ARVI4","Arctostaphylos viscida",108,"center",8.7,184.7,0,0,17,12,2.7,3,3.5,"cone 80 live","",NA,NA,NA,NA,0,0
"59","SOAP","Soaproot Saddle","SOAP1695",299187.7,4100973.2,"ARVI4","Arctostaphylos viscida",123,"center",12.3,44.2,NA,130,9,6,1.3,0.9,1.2,"","snag","Cone",0,100,"",0,0
"60","SOAP","Soaproot Saddle","SOAP1515",297515.7,4101264.5,"ARVI4","Arctostaphylos viscida",15,"center",10.2,46.2,NA,130,22,17,3.5,2.4,1.9,"10 stems (ddh's = 2.3; 7.1; 2.9; 2.8; 6.8; 3.4; 4.6; 8.4; 1.5; 4.6)","","Cone",85,100,"",0,0
"61","SOAP","Soaproot Saddle","SOAP1563",297702.6,4101218.8,"ARVI4","Arctostaphylos viscida",33,"center",4.5,170.3,0,0,34,8,1.3,1,0.5,"hemi 100 dead","snag",NA,NA,NA,NA,0,0
